Bytes,MSE Error
308,0.006281656368325154
309,0.007430691737681627
310,0.009989191079512239
311,0.004906923044472933
312,0.011370248859748244
313,0.007253593266276377
314,0.007859548864265284
315,0.007918235613033175
316,0.007060493161487911
317,0.011857773642987013
318,0.008276948540964547
319,0.013392512588516661
320,0.010448256357839065
321,0.009345559170469642
322,0.01247342893620953
323,0.010811278875917197
324,0.010277950277668424
325,0.012154185634461186
326,0.009787658335302363
327,0.011933198858362934
328,0.012083640707464054
329,0.011057498876956137
330,0.01268510697558126
331,0.011411359240966184
332,0.009382976678898558
333,0.011097021785994561
334,0.011308165542273358
335,0.011968304236818637
336,0.008990376414731145
337,0.007862109179689509
338,0.006671035946055781
339,0.010138038494106796
340,0.00782569607586733
341,0.008076227600931338
342,0.006372019617507855
343,0.0077251159865409135
344,0.0062013724750346125
345,0.006053189596380381
346,0.007281897036591545
347,0.006309645017609
348,0.007358567350400755
349,0.005475334027626862
350,0.006608775001950562
351,0.005283784666310318
352,0.005529488020329154
353,0.005243432983451595
354,0.0047983848183464845
355,0.0042807071662062535
356,0.005026380459700401
357,0.005862356547202746
358,0.0051040119790871225
359,0.004687165465756235
360,0.004480212205985131
361,0.005181400207913525
362,0.004525143333012238
363,0.004379927085458555
364,0.004246212386836608
365,0.004292058711871505
366,0.0041308322307204125
367,0.003997045909636654
368,0.004100585004952909
369,0.004321188647736562
370,0.004234340921012235
371,0.003934202641463152
372,0.003828919209459295
373,0.003531564558215905
374,0.004601734976209367
375,0.004347949503095482
376,0.0030315235589763946
377,0.003333505284150734
378,0.004281965025196162
379,0.0033969565553068205
380,0.0035873432540992167
381,0.0037227325494690188
382,0.0035141950701708317
383,0.003659603765668549
384,0.0032759299917545703
385,0.003633096509684737
386,0.002814344206957945
387,0.00307698169844288
388,0.0033878665248936925
389,0.002825009193931988
390,0.003108734733616121
391,0.0035786420515087694
392,0.0031026471838621157
393,0.0025480167976461307
394,0.002912196292475398
395,0.002721691852600902
396,0.002884273521986971
397,0.0028768493880138354
398,0.0026776451697328296
399,0.0026497125102487654
400,0.0026357282751372883
401,0.0027180193589899588
402,0.002526113882375849
403,0.0026292159291188
404,0.0025178875162964686
405,0.0023675997005609263
406,0.002665595628925422
407,0.0024621473935743173
408,0.0021945419392713737
409,0.0021976840907882433
410,0.0024587636810457824
411,0.002260691470149961
412,0.002470660676515442
413,0.0024036685535975266
414,0.0022872320361784658
415,0.002300740826864388
416,0.00201193667089683
417,0.002120384071733699
418,0.001965138972082059
419,0.002073737026824217
420,0.002303425595053578
421,0.0017934157580644491
422,0.0021809308205311207
423,0.002072294616664294
424,0.0022128596023287413
425,0.0018551842284996027
426,0.002184815527567828
427,0.002033008585593116
428,0.00188501751745207
429,0.0017276233359226816
430,0.0013545974971719025
431,0.0019290379944626086
432,0.0018714848183148172
433,0.0020897115964908152
434,0.001564635068444106
435,0.0018486610104136683
436,0.00158470253167993
437,0.0016460245194034764
438,0.0017472033628798795
439,0.0016570660690120303
440,0.0016403754153743203
441,0.0017074084706727485
442,0.0014575461143121013
443,0.001547315926083164
444,0.0016882982962063882
445,0.0014038028979296636
446,0.0013872387805859922
447,0.0015459542992175557
448,0.0016067956748884171
449,0.001450299090356566
450,0.0016215088908211328
451,0.0015377350342425738
452,0.0015717359545876616
453,0.001398018743762245
454,0.001334537295869999
455,0.001345615802863396
456,0.0014504745407266763
457,0.0012901098123857873
458,0.001339365219897699
459,0.001419753063511634
460,0.001241953734539233
461,0.0013848807787629387
462,0.0011782425369476965
463,0.001337669666430553
464,0.0014722039780716168
465,0.001420442140702757
466,0.0012181821704871254
467,0.0012102282892577255
468,0.0012297654462506613
469,0.0013616352940314554
470,0.001375698905911505
471,0.0009851696335743405
472,0.0014069255234790035
473,0.0011578185794666963
474,0.0011709881835390422
475,0.0011131039628290219
476,0.001239260433067102
477,0.0012386707972730031
478,0.001144134135756758
479,0.0009773602147850563
480,0.001134591623619934
481,0.0011254962551310052
482,0.0011375884686181646
483,0.0010124800727810777
484,0.0009471522402194285
485,0.0011250113690715977
486,0.0010661398059926882
487,0.0011325004500304203
488,0.0009557051542626226
489,0.0009953790683469449
490,0.0009631102680364941
491,0.0010399836761147215
492,0.0009978367490874938
493,0.0008879426677594893
494,0.000852218355496668
495,0.0009268849992622563
496,0.0009874907576910266
497,0.0008569834970330703
498,0.0009368377449420457
499,0.0008413025869053743
500,0.0009944167172458644
501,0.0009739575829977791
502,0.0009316129919690346
503,0.0007305465973735813
504,0.0011088295941590331
505,0.0008366865099170744
506,0.0008389794762675789
507,0.0007120386336383591
508,0.0008542653153638419
509,0.0008643551683053375
510,0.000729326178615582
511,0.0007041521462132082
512,0.0008186923122125198
513,0.0008485909729015788
514,0.000908592784111059
515,0.0008482526587143976
516,0.0006681544220353114
517,0.0008526013103123246
518,0.0006872938623740177
519,0.0007554090719373386
520,0.0006677850539964656
521,0.0006973062522125215
522,0.0007465959322636932
523,0.0006346138105592607
524,0.0007286423566064945
525,0.0005948402886133408
526,0.000720030065622268
527,0.0008639875632070471
528,0.0005817281808748913
529,0.000521712224217481
530,0.0007285835439186735
531,0.0006706750038834538
532,0.0005350451471214558
533,0.0005878563346050214
534,0.0005228920330726238
535,0.0006885954605286315
536,0.0005048286526558783
537,0.00048731155244527863
538,0.0005135639800885526
539,0.000505643448167785
540,0.0005276302919290694
541,0.0005352390726329759
542,0.00046904056835046505
543,0.0005856326827779413
544,0.0005511141529208736
545,0.0003904644325666595
546,0.0006004865756593696
547,0.0004175386863855899
548,0.0004598199692509297
549,0.00047870205414185946
550,0.00045110432042480065
551,0.00037836116090659286
552,0.0005717693347833119
553,0.0005739590240409597
554,0.0005127080401507555
555,0.00033572342530615885
556,0.00028812179131082737
557,0.0005141354137473778
558,0.0003764643256347525
559,0.0004087383127434326
560,0.00034675166534725577
561,0.0003853653252008371
562,0.0004807007846466149
563,0.0004799536859186796
564,0.00035635937991387704
565,0.0003251852291441537
566,0.0002642574066301581
567,0.00034295940701364696
